title,anime_types,anime_episodes,anime_ratings,anime_averages,anime_reviews,anime_members
Chihayafuru 3,TVSeries,24,8.80(727),8.04(734),7.16(2),1861
Mononoke-hime,Movie,1,8.79(13855),8.56(13980),8.95(11),20635
Bakuman. (2012),TVSeries,25,8.78(2651),8.27(2664),4.83(1),5514
Hidamari no Ki,TVSeries,25,8.78(126),7.34(134),N/A(0),520
Natsume Yuujinchou San,TVSeries,13,8.78(2943),8.31(2961),N/A(0),6429
Chihayafuru 2,TVSeries,25,8.77(2370),8.18(2376),7.33(1),4970
Odd Taxi,TVSeries,13,8.77(1253),8.04(1262),5.41(2),2683
Versailles no Bara,TVSeries,40,8.77(1331),8.08(1351),8.37(7),3568
Eve no Jikan,Web,6,8.75(5371),8.42(5416),8.94(3),10542
Natsume Yuujinchou Go,TVSeries,11,8.75(1271),8.09(1280),6.83(1),3281
Sen to Chihiro no Kamikakushi,Movie,1,8.75(14836),8.52(14935),8.69(12),22037
Kingdom (2024),TVSeries,,8.74(16),8.06(16),N/A(0),159
Cowboy Bebop,TVSeries,26,8.73(18181),8.65(18581),9.08(23),29210
GTO,TVSeries,43,8.73(13672),8.72(14083),8.63(27),20417
Tengen Toppa Gurren Lagann,TVSeries,27,8.73(13406),8.58(13732),8.61(29),24239
Yorinuki Gintama-san on Theater 2D,Movie,2,8.73(485),8.09(493),N/A(0),1127
One Punch Man,TVSeries,12,8.72(8644),8.33(8729),5.90(12),15289
Gekijouban Tengen Toppa Gurren Lagann: Lagann Hen,Movie,1,8.71(2291),8.19(2309),N/A(0),5832
Kizumonogatari,Movie,3,8.71(2713),8.14(2729),6.74(4),6773
Koukaku Kidoutai Stand Alone Complex,TVSeries,26,8.71(10872),8.58(11038),8.88(18),20361
Vinland Saga,TVSeries,24,8.71(2814),8.20(2836),8.50(2),6196
Yuru Camp Season 2,TVSeries,13,8.71(976),8.13(978),N/A(0),2420
Kingdom (2020),TVSeries,26,8.70(320),8.00(322),N/A(0),1065
Nodame Cantabile: Finale,TVSeries,11,8.70(3425),8.38(3441),7.60(3),7020
